allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Andreessen Horowitz,Databricks,follow_on,2026-08-13,NVDA,NVIDIA Corporation,"Databricks' AI-agent infrastructure (Lakebase, Genie, Unity Catalog AI Gateway) runs on GPU-accelerated compute; the $5B raise funding further platform scale-up is a direct driver of incremental GPU demand.",high
Andreessen Horowitz,Databricks,follow_on,2026-08-13,MSFT,Microsoft Corporation,"Databricks is deeply co-integrated with Azure (Azure Databricks is a first-party Microsoft offering); the platform scale-up this round funds drives incremental Azure cloud consumption.",high
Andreessen Horowitz,Databricks,follow_on,2026-08-13,AMZN,Amazon.com Inc,"Databricks runs natively on AWS, one of its three core cloud hosting partners; the $7B ARR platform's continued growth funded by this round drives incremental AWS consumption.",medium
Andreessen Horowitz,Databricks,follow_on,2026-08-13,GOOGL,Alphabet Inc,"Databricks also runs on Google Cloud Platform as a hosting partner; the same infra-consumption logic applies as for AWS/Azure, at lower confidence given GCP is typically Databricks' smaller footprint.",medium
Thrive Capital,Databricks,follow_on,2026-08-13,NVDA,NVIDIA Corporation,"Databricks' AI-agent infrastructure (Lakebase, Genie, Unity Catalog AI Gateway) runs on GPU-accelerated compute; the $5B raise funding further platform scale-up is a direct driver of incremental GPU demand.",high
Thrive Capital,Databricks,follow_on,2026-08-13,MSFT,Microsoft Corporation,"Databricks is deeply co-integrated with Azure (Azure Databricks is a first-party Microsoft offering); the platform scale-up this round funds drives incremental Azure cloud consumption.",high
Thrive Capital,Databricks,follow_on,2026-08-13,AMZN,Amazon.com Inc,"Databricks runs natively on AWS, one of its three core cloud hosting partners; the $7B ARR platform's continued growth funded by this round drives incremental AWS consumption.",medium
Thrive Capital,Databricks,follow_on,2026-08-13,GOOGL,Alphabet Inc,"Databricks also runs on Google Cloud Platform as a hosting partner; the same infra-consumption logic applies as for AWS/Azure, at lower confidence given GCP is typically Databricks' smaller footprint.",medium
MGX,Databricks,funding_round,2026-08-13,NVDA,NVIDIA Corporation,"Databricks' AI-agent infrastructure (Lakebase, Genie, Unity Catalog AI Gateway) runs on GPU-accelerated compute; the $5B raise funding further platform scale-up is a direct driver of incremental GPU demand.",high
MGX,Databricks,funding_round,2026-08-13,MSFT,Microsoft Corporation,"Databricks is deeply co-integrated with Azure (Azure Databricks is a first-party Microsoft offering); the platform scale-up this round funds drives incremental Azure cloud consumption.",high
MGX,Databricks,funding_round,2026-08-13,AMZN,Amazon.com Inc,"Databricks runs natively on AWS, one of its three core cloud hosting partners; the $7B ARR platform's continued growth funded by this round drives incremental AWS consumption.",medium
MGX,Databricks,funding_round,2026-08-13,GOOGL,Alphabet Inc,"Databricks also runs on Google Cloud Platform as a hosting partner; the same infra-consumption logic applies as for AWS/Azure, at lower confidence given GCP is typically Databricks' smaller footprint.",medium
Blackstone,Databricks,funding_round,2026-08-13,NVDA,NVIDIA Corporation,"Databricks' AI-agent infrastructure (Lakebase, Genie, Unity Catalog AI Gateway) runs on GPU-accelerated compute; the $5B raise funding further platform scale-up is a direct driver of incremental GPU demand.",high
Blackstone,Databricks,funding_round,2026-08-13,MSFT,Microsoft Corporation,"Databricks is deeply co-integrated with Azure (Azure Databricks is a first-party Microsoft offering); the platform scale-up this round funds drives incremental Azure cloud consumption.",high
Blackstone,Databricks,funding_round,2026-08-13,AMZN,Amazon.com Inc,"Databricks runs natively on AWS, one of its three core cloud hosting partners; the $7B ARR platform's continued growth funded by this round drives incremental AWS consumption.",medium
Blackstone,Databricks,funding_round,2026-08-13,GOOGL,Alphabet Inc,"Databricks also runs on Google Cloud Platform as a hosting partner; the same infra-consumption logic applies as for AWS/Azure, at lower confidence given GCP is typically Databricks' smaller footprint.",medium
Elad Gil,Cambridge Aerospace,funding_round,2026-08-10,KTOS,Kratos Defense & Security Solutions,"Established counter-UAS/target-drone systems maker positioned to benefit from the broader capital-driven expansion of the counter-drone/air-defense addressable market that Cambridge Aerospace's raise signals; a thematic, not direct-supply, read.",low
Elad Gil,Cambridge Aerospace,funding_round,2026-08-10,AVAV,AeroVironment Inc,"Leading US drone/counter-UAS systems manufacturer likely to see parallel government and prime-contractor demand tailwinds as venture capital validates and scales the counter-UAS category Cambridge Aerospace competes in; thematic, not direct-supply.",low
US Government,Performance Drone Works,project_finance,2026-07-31,KTOS,Kratos Defense & Security Solutions,"Thematic beneficiary of OSC's broader push to build domestic drone/UAS component manufacturing capacity; Kratos is a domestic target-drone and tactical UAS maker positioned to capture parallel OSC/DoD onshoring demand alongside PDW.",low
US Government,Performance Drone Works,project_finance,2026-07-31,AVAV,AeroVironment Inc,"Thematic beneficiary of the same domestic-manufacturing-capacity policy wave funding PDW; AVAV is an established US drone/loitering-munitions maker likely to see parallel OSC/DoD onshoring demand.",low
