event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,origin_id,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,notes
2026-07-14,2026-07-14,Khosla Ventures,vc,Singularity Defense,private,defense-tech,air-defense-interceptors,funding_round,80000000,0,verified,1,https://www.businesswire.com/news/home/20260714185502/en/Singularity-Emerges-from-Stealth-with-$80M-Series-A-at-$400M-Valuation-to-Deploy-Air-Defense-at-Scale,https://www.businesswire.com/news/home/20260714185502/en/Singularity-Emerges-from-Stealth-with-$80M-Series-A-at-$400M-Valuation-to-Deploy-Air-Defense-at-Scale,defense_ai,lead,equity,series a,80000000,,400000000,Felicis (co-lead); NEA; AE Ventures; Long Journey; Harpoon Ventures; Menlo Ventures; Y Combinator; Decisive Point; New Vista; Sunflower; Soma,CO-LEAD with Felicis. Oversubscribed $80M Series A at $400M post. LA-based; low-cost air-defense interceptors built on automotive mass-production lines; team ex-SpaceX/Tesla/Anduril/Lockheed; already delivering to US military. amount_usd = FULL round
2026-07-14,2026-07-14,Khosla Ventures,vc,State Affairs,private,ai-applications,policy-regulatory-intelligence,funding_round,70000000,0,verified,1,https://www.prnewswire.com/news-releases/state-affairs-raises-70-million-to-help-institutions-navigate-the-policy-and-regulatory-economy-302824501.html,https://www.prnewswire.com/news-releases/state-affairs-raises-70-million-to-help-institutions-navigate-the-policy-and-regulatory-economy-302824501.html,ai_applications,lead,equity,series a,70000000,,,Founders Fund (co-lead); Tru Arrow Partners; Alumni Ventures; Marcus Brauchli; Alex Mather; Adam Hansmann; Richard Sarnoff,"Official PR names the investors but does NOT designate a lead; Crunchbase News records Khosla + Founders Fund as co-leads - capital_role set from Crunchbase, flagged here. AI knowledge graph over legislation/regulation across all 50 states + federal. amount_usd = FULL round"
2026-07-14,2026-07-14,Founders Fund,vc,State Affairs,private,ai-applications,policy-regulatory-intelligence,funding_round,70000000,0,verified,1,https://www.prnewswire.com/news-releases/state-affairs-raises-70-million-to-help-institutions-navigate-the-policy-and-regulatory-economy-302824501.html,https://www.prnewswire.com/news-releases/state-affairs-raises-70-million-to-help-institutions-navigate-the-policy-and-regulatory-economy-302824501.html,ai_applications,lead,equity,series a,70000000,,,Khosla Ventures (co-lead); Tru Arrow Partners; Alumni Ventures,Same lead caveat as the Khosla row. amount_usd = FULL round
2026-07-07,2026-07-07,Khosla Ventures,vc,Norm Ai,private,ai-applications,legal-regulatory-ai,funding_round,120000000,0,verified,1,https://www.prnewswire.com/news-releases/norm-ai-raises-120-million-at-a-1-2-billion-valuation-led-by-khosla-ventures-to-deliver-the-full-stack-model-for-legal-ai-302819152.html,https://www.prnewswire.com/news-releases/norm-ai-raises-120-million-at-a-1-2-billion-valuation-led-by-khosla-ventures-to-deliver-the-full-stack-model-for-legal-ai-302819152.html,ai_applications,lead,equity,,120000000,,1200000000,Coatue; Blackstone; Bain Capital Ventures; Craft Ventures,LEAD. Full-stack legal/regulatory AI agents. At the far edge of the ~30d window (disclosed 2026-07-07). amount_usd = FULL round
2026-07-07,2026-07-07,Coatue,vc,Norm Ai,private,ai-applications,legal-regulatory-ai,funding_round,120000000,0,verified,1,https://www.prnewswire.com/news-releases/norm-ai-raises-120-million-at-a-1-2-billion-valuation-led-by-khosla-ventures-to-deliver-the-full-stack-model-for-legal-ai-302819152.html,https://www.prnewswire.com/news-releases/norm-ai-raises-120-million-at-a-1-2-billion-valuation-led-by-khosla-ventures-to-deliver-the-full-stack-model-for-legal-ai-302819152.html,ai_applications,participant,equity,,120000000,,1200000000,Khosla Ventures (lead); Blackstone; Bain Capital Ventures; Craft Ventures,PARTICIPANT. amount_usd = FULL round
2026-07-30,2026-07-30,Khosla Ventures,vc,Ellis,private,ai-applications,private-credit-ops-agents,funding_round,10000000,0,verified,1,https://www.businesswire.com/news/home/20260730538995/en/Ellis-Emerges-From-Stealth-With-More-Than-$10-Million-to-Build-the-AI-Native-Operating-Foundation-for-Private-Credit,https://www.businesswire.com/news/home/20260730538995/en/Ellis-Emerges-From-Stealth-With-More-Than-$10-Million-to-Build-the-AI-Native-Operating-Foundation-for-Private-Credit,ai_applications,participant,equity,seed,10000000,,,First Round Capital (lead); 645 Ventures; Harlem Capital; Slow Ventures; Wilshire Lane; Westbound; Collide Capital; Gallery Ventures; Mellody Hobson; Josh Kushner; Immad Akhund,"PARTICIPANT in a >$10M seed. Founder Ryan Williams (ex-Cadre). NOTE: Josh Kushner invested PERSONALLY, not via Thrive Capital - no Thrive row filed (belongs to the individuals agent). Also note a July 30 techstartups roundup wrongly credited this round to Initialized + Sequoia; the company's own Businesswire PR names First Round as lead and no Sequoia - that erroneous Sequoia lead was rejected. amount_usd = FULL round"
2026-08-03,2026-08-03,Coatue,vc,Base Power,private,power-energy,distributed-storage-grid,funding_round,1000000000,0,verified,1,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,energy_for_ai,participant,equity,series d,1000000000,,13000000000,Ribbit Capital (co-lead); Addition (co-lead); Valor Equity Partners (co-lead); JPMorganChase Strategic Investment Group (co-lead); Altimeter; D1 Capital Partners; Sands Capital; Layer Global; Energy Impact Partners; Thrive Capital; Andreessen Horowitz; Lightspeed; Trust Ventures; CapitalG,"NEW participant. $1B Series D at $13B post - more than triples the $4B Oct-2025 Series C valuation in under a year. US-built 39.2/78.4 kWh home batteries aggregated into distributed grid capacity. FOUR watchlist VCs in this one round (Coatue, Altimeter, Thrive, a16z). amount_usd = FULL round; Coatue slice undisclosed"
2026-08-03,2026-08-03,Altimeter,vc,Base Power,private,power-energy,distributed-storage-grid,funding_round,1000000000,0,verified,1,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,energy_for_ai,participant,equity,series d,1000000000,,13000000000,Ribbit Capital (co-lead); Addition (co-lead); Valor Equity Partners (co-lead); JPMorganChase Strategic Investment Group (co-lead); Coatue; D1 Capital Partners; Sands Capital; Layer Global; Energy Impact Partners; Thrive Capital; Andreessen Horowitz; Lightspeed; Trust Ventures; CapitalG,NEW participant. amount_usd = FULL round; Altimeter slice undisclosed
2026-08-03,2026-08-03,Thrive Capital,vc,Base Power,private,power-energy,distributed-storage-grid,follow_on,1000000000,0,verified,1,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,energy_for_ai,participant,equity,series d,1000000000,,13000000000,Ribbit Capital (co-lead); Addition (co-lead); Valor Equity Partners (co-lead); JPMorganChase Strategic Investment Group (co-lead); Coatue; Altimeter; D1 Capital Partners; Sands Capital; Andreessen Horowitz; Lightspeed; Trust Ventures; CapitalG,EXISTING investor reinvesting (follow_on) per the company PR. amount_usd = FULL round
2026-08-03,2026-08-03,Andreessen Horowitz,vc,Base Power,private,power-energy,distributed-storage-grid,follow_on,1000000000,0,verified,1,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,https://www.businesswire.com/news/home/20260803203117/en/Base-Power-Announces-$1B-Series-D-and-Launches-Base-Core-First-of-its-Kind-Home-Battery-Built-in-the-United-States,energy_for_ai,participant,equity,series d,1000000000,,13000000000,Ribbit Capital (co-lead); Addition (co-lead); Valor Equity Partners (co-lead); JPMorganChase Strategic Investment Group (co-lead); Coatue; Altimeter; Thrive Capital; D1 Capital Partners; Sands Capital; Lightspeed; Trust Ventures; CapitalG,EXISTING investor reinvesting (follow_on) per the company PR. amount_usd = FULL round
2026-08-06,2026-08-06,Andreessen Horowitz,vc,Hadrian,private,defense-tech,automated-factories,funding_round,1370000000,0,verified,1,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,defense_ai,participant,equity,series d,1370000000,,7870000000,WCM Investment Management (co-lead); Washington Harbour Partners (co-lead); Valor Equity Partners (co-lead); 137 Ventures (co-lead); Baillie Gifford (co-lead); JPMorganChase Strategic Investment Group (anchor co-lead); 1789 Capital; Morgan Stanley Wealth Management; Apollo; T. Rowe Price; CapitalG; Founders Fund; Lux Capital; Altimeter; Construct Capital,"PARTICIPANT. AI/robotics-automated precision manufacturing for aerospace & defense. THREE watchlist VCs in one round (a16z, Founders Fund, Altimeter). amount_usd = FULL round; a16z slice undisclosed"
2026-08-06,2026-08-06,Founders Fund,vc,Hadrian,private,defense-tech,automated-factories,funding_round,1370000000,0,verified,1,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,defense_ai,participant,equity,series d,1370000000,,7870000000,WCM Investment Management (co-lead); Washington Harbour Partners (co-lead); Valor Equity Partners (co-lead); 137 Ventures (co-lead); Baillie Gifford (co-lead); JPMorganChase Strategic Investment Group (anchor co-lead); Andreessen Horowitz; Altimeter; CapitalG; Lux Capital; Construct Capital; Apollo; T. Rowe Price,PARTICIPANT. amount_usd = FULL round; Founders Fund slice undisclosed
2026-08-06,2026-08-06,Altimeter,vc,Hadrian,private,defense-tech,automated-factories,funding_round,1370000000,0,verified,1,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,https://www.prnewswire.com/news-releases/hadrian-raises-1-37b-series-d-to-build-highly-automated-factories-to-accelerate-americas-industrial-renewal-302844408.html,defense_ai,participant,equity,series d,1370000000,,7870000000,WCM Investment Management (co-lead); Washington Harbour Partners (co-lead); Valor Equity Partners (co-lead); 137 Ventures (co-lead); Baillie Gifford (co-lead); JPMorganChase Strategic Investment Group (anchor co-lead); Andreessen Horowitz; Founders Fund; CapitalG; Lux Capital; Construct Capital,PARTICIPANT. amount_usd = FULL round; Altimeter slice undisclosed
2026-08-04,2026-08-04,Andreessen Horowitz,vc,HappyRobot,private,ai-applications,logistics-ai-agents,follow_on,150000000,0,verified,1,https://www.happyrobot.ai/blog/happyrobot-seriesc-fundraising-announcement,https://www.businesswire.com/news/home/20260804192350/en/HappyRobot-Raises-$150-Million-Series-C-to-Build-Enterprise-Superintelligence,ai_applications,participant,equity,series c,150000000,,1200000000,Prysm Capital (lead); Eurazeo (co-lead); Base10; Y Combinator; Koch Disruptive Technologies; Orange; T.Capital (Deutsche Telekom); Bankinter; Endeavor Catalyst; KFund; Wave-X,EXISTING investor doubling down (follow_on) per the company announcement. US-Spanish agentic AI for supply chain/logistics; $1.2B post-money; 5x growth since Series B. amount_usd = FULL round
2026-08-04,2026-08-04,Andreessen Horowitz,vc,Convex,private,ai-applications,agent-native-backend,follow_on,57000000,0,verified,1,https://news.convex.dev/convex-raises-57m/,https://www.prnewswire.com/news-releases/convex-raises-57m-series-b-led-by-insight-partners-to-scale-the-reliable-backend-for-the-ai-era-302841686.html,ai_applications,participant,equity,series b,57000000,,,Insight Partners (lead); Etna Labs; Spark Capital; Justin Kan,EXISTING investor (follow_on). Reactive backend/database for agent-written software; founders ex-Dropbox infra. Total raised now $110.5M. amount_usd = FULL round
2026-08-04,2026-08-04,Thrive Capital,vc,Ambrook,private,ai-applications,real-economy-fintech,funding_round,30000000,0,verified,1,https://ambrook.com/series-b,https://www.upstartsmedia.com/p/ambrook-raises-30m-series-b-real-economy,ai_applications,participant,equity,series b,30000000,,,Lachy Groom (lead); Thomson Reuters Ventures; Field Ventures; Cameron Ventures; Akshay Kothari; Tomer London; Guillermo Rauch,"PARTICIPANT. AI financial-management/bookkeeping software for farms, trucking, construction; total raised $59M. Well off the AI-buildout taxonomy - mapped to ai-applications and flagged. amount_usd = FULL round"
