kind,id,field,lang,text
entity,cadence,why_lock_in,en,Reaches chip design and chips
entity,cfius,why_control,en,"No leverage, only procedure"
entity,cfius,why_lock_in,en,Reaches deals and partnerships
entity,china,why_control,en,The relationship is closer to hostile
entity,china,why_lock_in,en,Reaches revenue and the materials chain
entity,chips-act,why_control,en,Influence through industry associations
entity,chips-act,why_lock_in,en,Reaches fabs and raw inputs
entity,cisco,why_control,en,A competitive relationship
entity,cisco,why_lock_in,en,Reaches the network only
entity,coherent,why_control,en,A purchasing relationship
entity,coherent,why_lock_in,en,Reaches the network only
entity,constellation,why_control,en,No relationship with the anchor
entity,constellation,why_lock_in,en,Reaches power and sites
entity,coreweave,why_control,en,Anchor investment plus a supply agreement
entity,coreweave,why_lock_in,en,Reaches the cloud layer only
entity,credo,why_control,en,"Purchasing, plus participation in the ecosystem"
entity,credo,why_lock_in,en,Reaches the network only
entity,crusoe,why_control,en,The anchor holds an investment
entity,crusoe,why_lock_in,en,Reaches power and clouds
entity,cuda,why_control,en,The anchor's own product
entity,cuda,why_lock_in,en,"Reaches chips, software, models and applications"
entity,databricks,why_control,en,Anchor investment and joint products
entity,databricks,why_lock_in,en,"Reaches data, inference and applications"
entity,deepseek,why_control,en,"The relationship is hostile, access is restricted"
entity,deepseek,why_lock_in,en,"Reaches models, demand and the platform"
entity,dell,why_control,en,"A public partnership, no stake"
entity,dell,why_lock_in,en,Reaches assembly and sales
entity,delta-electronics,why_control,en,"Joint development, no stake"
entity,delta-electronics,why_lock_in,en,Reaches power and systems
entity,digital-realty,why_control,en,No relationship with the anchor
entity,digital-realty,why_lock_in,en,Reaches sites only
entity,eaton,why_control,en,No direct relationship with the anchor
entity,eaton,why_lock_in,en,Reaches power and sites
entity,equinix,why_control,en,No relationship with the anchor
entity,equinix,why_lock_in,en,Reaches sites and the network
entity,eu,why_control,en,Engagement through industry associations
entity,eu,why_lock_in,en,"Reaches sales, not manufacturing"
entity,eu-ai-act,why_control,en,Influence through consultation
entity,eu-ai-act,why_lock_in,en,Reaches applications and models
entity,fabrinet,why_control,en,A purchasing relationship
entity,fabrinet,why_lock_in,en,Reaches the network only
entity,foxconn,why_control,en,"Joint projects, no stake"
entity,foxconn,why_lock_in,en,Reaches assembly and systems
entity,ge-vernova,why_control,en,No relationship with the anchor
entity,ge-vernova,why_lock_in,en,Reaches power and sites
entity,google,why_control,en,Purchasing and competitive at once
entity,google,why_lock_in,en,"Reaches chips, clouds, the platform and models"
entity,google-cloud,why_control,en,The anchor has no leverage over it
entity,google-cloud,why_lock_in,en,"Reaches chips, clouds, software and models"
entity,google-deepmind,why_control,en,A competitive relationship
entity,google-deepmind,why_lock_in,en,"Reaches chips, models and clouds"
entity,hpe,why_control,en,"A public partnership, no stake"
entity,hpe,why_lock_in,en,Reaches assembly and sales
entity,huggingface,why_control,en,Anchor investment and joint products
entity,huggingface,why_lock_in,en,"Reaches software, models and applications"
entity,intel,why_control,en,No manufacturing relationship with the anchor yet
entity,intel,why_lock_in,en,Reaches fabs and chips
entity,japan,why_control,en,No leverage
entity,japan,why_lock_in,en,Reaches raw inputs and fabs
entity,jax,why_control,en,No relationship with the anchor
entity,jax,why_lock_in,en,Reaches software and models
entity,kioxia,why_control,en,No relationship with the anchor
entity,kioxia,why_lock_in,en,Reaches storage only
entity,kla,why_control,en,No relationship with the anchor
entity,kla,why_lock_in,en,Reaches fabs and memory
entity,kubernetes,why_control,en,"No relationship with the anchor, only compatibility"
entity,kubernetes,why_lock_in,en,"Reaches clouds, inference and applications"
entity,lam-research,why_control,en,No direct relationship with the anchor
entity,lam-research,why_lock_in,en,Reaches fabs and memory
entity,lambda,why_control,en,The anchor holds an investment
entity,lambda,why_lock_in,en,Reaches the cloud layer only
entity,lightspeed,why_control,en,No relationship with the anchor
entity,lightspeed,why_lock_in,en,Reaches applications
entity,lite-on,why_control,en,No relationship with the anchor
entity,lite-on,why_lock_in,en,Reaches rack power only
entity,marvell,why_control,en,A competitive relationship
entity,marvell,why_lock_in,en,Reaches chips and the network
entity,meta,why_control,en,"Joint open-source work, no stake"
entity,meta,why_lock_in,en,"Reaches software, models, clouds and applications"
entity,mgx,why_control,en,No direct relationship with the anchor
entity,mgx,why_lock_in,en,Reaches clouds and sites
entity,micron,why_control,en,A purchasing relationship
entity,micron,why_lock_in,en,Reaches memory and chips
entity,microsoft,why_control,en,A public partnership without an anchor stake
entity,microsoft,why_lock_in,en,"Reaches clouds, the platform, models and applications"
entity,mistral,why_control,en,No formal relationship with the anchor
entity,mistral,why_lock_in,en,Reaches models and applications
entity,mlcommons,why_control,en,Consortium membership without control
entity,mlcommons,why_lock_in,en,Reaches chips and systems
entity,nccl,why_control,en,The anchor's own product
entity,nccl,why_lock_in,en,"Reaches software, systems and training"
entity,nebius,why_control,en,Anchor investment plus a supply contract
entity,nebius,why_lock_in,en,Reaches the cloud layer only
entity,netherlands,why_control,en,No leverage
entity,netherlands,why_lock_in,en,Reaches fabs and everything below them in the stack
entity,nim,why_control,en,The anchor's own product
entity,nim,why_lock_in,en,Reaches inference and applications
entity,nvent,why_control,en,No direct relationship with the anchor
entity,nvent,why_lock_in,en,Reaches cooling only
entity,nventures,why_control,en,An entity the anchor owns
entity,nventures,why_lock_in,en,"Reaches clouds, software, models and applications"
entity,nvidia,why_control,en,Wholly owned: control is complete
entity,nvidia,why_lock_in,en,"Reaches chips, systems, software, models and applications"
entity,oklo,why_control,en,"Partnerships announced, no anchor money"
entity,oklo,why_lock_in,en,Reaches power only
entity,openai,why_control,en,Anchor investment of up to $100B announced
entity,openai,why_lock_in,en,"Reaches clouds, the platform, models and applications"
entity,oracle,why_control,en,"A public partnership, no stake"
entity,oracle,why_lock_in,en,Reaches clouds and sites
entity,pytorch,why_control,en,"Anchor engineers contribute, but a foundation owns it"
entity,pytorch,why_lock_in,en,"Reaches software, models, research"
entity,quanta,why_control,en,A purchasing relationship
entity,quanta,why_lock_in,en,Reaches assembly only
entity,ray,why_control,en,No relationship with the anchor
entity,ray,why_lock_in,en,Reaches inference and training
entity,recursion,why_control,en,The supercomputer was built jointly with the anchor
entity,recursion,why_lock_in,en,Reaches applications only
entity,salesforce,why_control,en,"A public partnership, no stake"
entity,salesforce,why_lock_in,en,Reaches applications
entity,samsung,why_control,en,"A purchasing relationship, no stake"
entity,samsung,why_lock_in,en,"Reaches memory, fabs and packaging"
entity,sandisk,why_control,en,No relationship with the anchor
entity,sandisk,why_lock_in,en,Reaches storage only
entity,schneider,why_control,en,No direct relationship with the anchor
entity,schneider,why_lock_in,en,Reaches power and sites
entity,schrodinger,why_control,en,A purchasing relationship
entity,schrodinger,why_lock_in,en,Reaches applications only
entity,sequoia,why_control,en,No relationship with the anchor
entity,sequoia,why_lock_in,en,Reaches models and applications
entity,servicenow,why_control,en,"An announced partnership, no stake"
entity,servicenow,why_lock_in,en,Reaches applications and inference
entity,sglang,why_control,en,No relationship with the anchor
entity,sglang,why_lock_in,en,Reaches inference only
entity,shin-etsu,why_control,en,No relationship with the anchor
entity,shin-etsu,why_lock_in,en,Reaches raw inputs and fabs
entity,siemens,why_control,en,"A public partnership, no stake"
entity,siemens,why_lock_in,en,Reaches applications only
entity,siemens-eda,why_control,en,No formal relationship with the anchor
entity,siemens-eda,why_lock_in,en,Reaches chip design
entity,siemens-energy,why_control,en,No relationship with the anchor
entity,siemens-energy,why_lock_in,en,Reaches power
entity,singapore,why_control,en,No leverage
entity,singapore,why_lock_in,en,Reaches sales
entity,sk-hynix,why_control,en,"An expanded partnership, no stake"
entity,sk-hynix,why_lock_in,en,"Reaches memory, chips and systems"
entity,snowflake,why_control,en,"A public partnership, no stake"
entity,snowflake,why_lock_in,en,Reaches data and applications
entity,softbank,why_control,en,No direct relationship with the anchor
entity,softbank,why_lock_in,en,Reaches clouds and sites
entity,south-korea,why_control,en,No leverage
entity,south-korea,why_lock_in,en,Reaches memory and everything that depends on it
entity,supermicro,why_control,en,"A public partnership, no stake"
entity,supermicro,why_lock_in,en,Reaches assembly and systems
entity,synopsys,why_control,en,The anchor bought a $2B stake in the company
entity,synopsys,why_lock_in,en,"Reaches chip design, fabs and chips"
entity,taiwan,why_control,en,The company has no leverage at all
entity,taiwan,why_lock_in,en,"Reaches chips, memory, packaging and everything above"
entity,tensorrt,why_control,en,The anchor's own product
entity,tensorrt,why_lock_in,en,Reaches software and inference
entity,thrive,why_control,en,No relationship with the anchor
entity,thrive,why_lock_in,en,Reaches models
entity,tokyo-electron,why_control,en,No relationship with the anchor
entity,tokyo-electron,why_lock_in,en,Reaches fabs
entity,triton,why_control,en,Joint work without formal control
entity,triton,why_lock_in,en,Reaches software and the platform
entity,tsmc,why_control,en,No board seat; the only leverage is order volume
entity,tsmc,why_lock_in,en,"Reaches chips, packaging and the roadmap"
entity,usa,why_control,en,The company has no leverage: only lobbying and testimony
entity,usa,why_lock_in,en,"The decision reaches chips, systems, clouds and models all at once"
entity,vertiv,why_control,en,"Joint development, an announced partnership"
entity,vertiv,why_lock_in,en,"Reaches power, cooling and systems"
entity,vllm,why_control,en,"Engineers contribute, no control"
entity,vllm,why_lock_in,en,Reaches inference and applications
entity,wistron,why_control,en,A purchasing relationship
entity,wistron,why_lock_in,en,Reaches assembly only
entity,xai,why_control,en,"A public partnership, no stake"
entity,xai,why_lock_in,en,Reaches clouds and models
entity,a16z,why_time,en,Finding replacement capital — months
entity,a16z,why_irreplaceability,en,Several venture funds of this class exist
entity,amazon,why_time,en,Replacing a cloud of this scale — two to three years
entity,amazon,why_irreplaceability,en,There are several hyperscalers
entity,amd,why_time,en,Catching up on the software ecosystem — three to five years
entity,amd,why_irreplaceability,en,A direct competitor exists; the gap is in software
entity,amkor,why_time,en,Adding capacity — one to two years
entity,amkor,why_irreplaceability,en,The second of two or three contractors
entity,anthropic,why_time,en,Taking its place — two to three years
entity,anthropic,why_irreplaceability,en,There are several labs
entity,applied-materials,why_time,en,Requalifying the process — two to three years
entity,applied-materials,why_irreplaceability,en,Three suppliers work at this scale
entity,arista,why_time,en,Rebuilding a cluster's network — two to three years
entity,arista,why_irreplaceability,en,"Replacements exist, but the tuning for clusters differs"
entity,arm,why_time,en,The industry changing architecture — more than five years
entity,arm,why_irreplaceability,en,"A duopoly with an open architecture, but the scale does not compare"
entity,ase,why_time,en,Adding capacity — one to two years
entity,ase,why_irreplaceability,en,Two or three contractors work at this scale
entity,asml,why_time,en,Building tools domestically — more than seven years
entity,asml,why_irreplaceability,en,Its own filing: the only EUV maker in the world
entity,astera-labs,why_time,en,Replacing the solution — one to two years
entity,astera-labs,why_irreplaceability,en,"Replaceable, but tuned to the platform"
entity,bis,why_time,en,The regime has stood since 2022 and is not being wound down
entity,bis,why_irreplaceability,en,The authority belongs to a single agency
entity,blackrock,why_time,en,Replacing the capital — one to two years
entity,blackrock,why_irreplaceability,en,There are several infrastructure managers
entity,blackstone,why_time,en,Replacing the site owner — two years
entity,blackstone,why_irreplaceability,en,Several own site platforms
entity,bloom-energy,why_time,en,Deploying a comparable fleet — two years
entity,bloom-energy,why_irreplaceability,en,There are several on-site generation suppliers
entity,boyd,why_time,en,Qualifying a new material — under a year
entity,boyd,why_irreplaceability,en,There are several thermal-materials suppliers
entity,broadcom,why_time,en,Growing an alternative — three to five years
entity,broadcom,why_irreplaceability,en,Only a handful design custom accelerators at this class
entity,brookfield,why_time,en,Replacing capital of this scale — two to three years
entity,brookfield,why_irreplaceability,en,There are several infrastructure managers
entity,cadence,why_time,en,Changing methodology — five years
entity,cadence,why_irreplaceability,en,A duopoly: two suppliers for the whole industry
entity,cfius,why_time,en,The regime has been in force for decades
entity,cfius,why_irreplaceability,en,There is one review mechanism
entity,china,why_time,en,Replacing a market of this size — years
entity,china,why_irreplaceability,en,There is one market this size
entity,chips-act,why_time,en,Subsidies take years to show an effect
entity,chips-act,why_irreplaceability,en,Other countries run support programmes too
entity,cisco,why_time,en,Replacement inside a year
entity,cisco,why_irreplaceability,en,There are several networking suppliers
entity,coherent,why_time,en,Switching supplier — under a year
entity,coherent,why_irreplaceability,en,There are several optical-module suppliers
entity,constellation,why_time,en,A new plant takes more than seven years to build
entity,constellation,why_irreplaceability,en,Few own operating nuclear capacity at this scale
entity,coreweave,why_time,en,An equivalent launches in one to two years
entity,coreweave,why_irreplaceability,en,A hyperscaler could reproduce it in one to two years
entity,credo,why_time,en,Replacing the solution — a year
entity,credo,why_irreplaceability,en,The alternatives are clear; the advantage is inertia
entity,crusoe,why_time,en,Building a site at the source — one to two years
entity,crusoe,why_irreplaceability,en,"The approach is reproducible, but few have taken it"
entity,cuda,why_time,en,Porting the installed code base — more than ten years
entity,cuda,why_irreplaceability,en,No portable alternative has a base like this
entity,databricks,why_time,en,Replacement — two years
entity,databricks,why_irreplaceability,en,There are several data platforms
entity,deepseek,why_time,en,Repeating the approach — a year
entity,deepseek,why_irreplaceability,en,"There are several labs, but the approach differs"
entity,dell,why_time,en,Building the sales channel — two to three years
entity,dell,why_irreplaceability,en,There are several enterprise server makers
entity,delta-electronics,why_time,en,Designing for a new rack — a year
entity,delta-electronics,why_irreplaceability,en,There are several rack-power suppliers
entity,digital-realty,why_time,en,Building the campus — two to three years
entity,digital-realty,why_irreplaceability,en,There are several site operators
entity,eaton,why_time,en,The queue for equipment — two years
entity,eaton,why_irreplaceability,en,Three or four suppliers work at this power class
entity,equinix,why_time,en,Reproducing that density of interconnection — three years
entity,equinix,why_irreplaceability,en,Two or three neutral operators work at this scale
entity,eu,why_time,en,Adapting the product to the rules — about a year
entity,eu,why_irreplaceability,en,There are several markets of comparable size
entity,eu-ai-act,why_time,en,Implementing the requirements — one to two years
entity,eu-ai-act,why_irreplaceability,en,There are several regulatory regimes
entity,fabrinet,why_time,en,Moving assembly — under a year
entity,fabrinet,why_irreplaceability,en,There are several contract optics assemblers
entity,foxconn,why_time,en,Moving the volume — six months to a year
entity,foxconn,why_irreplaceability,en,Three or four contractors work at comparable scale
entity,ge-vernova,why_time,en,The queue for a turbine — three to five years
entity,ge-vernova,why_irreplaceability,en,Three makers build large turbines
entity,google,why_time,en,Replacing a vertical like this — more than three years
entity,google,why_irreplaceability,en,"There are several hyperscalers, but only this one owns the whole vertical"
entity,google-cloud,why_time,en,Reproducing the vertical — more than three years
entity,google-cloud,why_irreplaceability,en,"There are several clouds, but only this one owns the whole vertical"
entity,google-deepmind,why_time,en,Taking its place — two to three years
entity,google-deepmind,why_irreplaceability,en,There are several labs
entity,hpe,why_time,en,Replacement inside a year
entity,hpe,why_irreplaceability,en,There are several enterprise server makers
entity,huggingface,why_time,en,Moving the model ecosystem — two to three years
entity,huggingface,why_irreplaceability,en,No model hub comes close to this scale
entity,intel,why_time,en,Catching up on the leading-edge node — three to five years
entity,intel,why_irreplaceability,en,An alternative exists; the leader's advantage is inertia
entity,japan,why_time,en,Requalifying materials — two to three years
entity,japan,why_irreplaceability,en,"There are few materials suppliers, and they are here"
entity,jax,why_time,en,Catching up on the ecosystem — three to five years
entity,jax,why_irreplaceability,en,An alternative exists; the leader's advantage is inertia
entity,kioxia,why_time,en,Switching supplier — months
entity,kioxia,why_irreplaceability,en,There are several flash-memory suppliers
entity,kla,why_time,en,Developing comparable control — three to five years
entity,kla,why_irreplaceability,en,The replacements are visibly weaker on precision
entity,kubernetes,why_time,en,The industry changing standard — more than five years
entity,kubernetes,why_irreplaceability,en,One standard for the whole industry
entity,lam-research,why_time,en,Requalifying the line — two to three years
entity,lam-research,why_irreplaceability,en,Three suppliers work at this scale
entity,lambda,why_time,en,An equivalent launches in a year
entity,lambda,why_irreplaceability,en,There are several independent clouds
entity,lightspeed,why_time,en,Finding replacement capital — months
entity,lightspeed,why_irreplaceability,en,Several venture funds of this class exist
entity,lite-on,why_time,en,Switching supplier — months
entity,lite-on,why_irreplaceability,en,There are many power-supply vendors
entity,marvell,why_time,en,Standing up a custom-silicon programme — two to three years
entity,marvell,why_irreplaceability,en,There are several custom-silicon designers
entity,meta,why_time,en,Replacing demand of this volume — two years
entity,meta,why_irreplaceability,en,There are several buyers of this scale
entity,mgx,why_time,en,Replacing the capital — one to two years
entity,mgx,why_irreplaceability,en,Several sovereign funds hold such a mandate
entity,micron,why_time,en,Growing the share — two to three years
entity,micron,why_irreplaceability,en,One of three memory suppliers
entity,microsoft,why_time,en,Rebuilding a relationship of this scale — two to three years
entity,microsoft,why_irreplaceability,en,"There are several hyperscalers, and each is enormous"
entity,mistral,why_time,en,Taking its place — one to two years
entity,mistral,why_irreplaceability,en,There are several labs
entity,mlcommons,why_time,en,Creating a recognised alternative — two to three years
entity,mlcommons,why_irreplaceability,en,There is one recognised benchmark suite
entity,nccl,why_time,en,Catching up on maturity — two to three years
entity,nccl,why_irreplaceability,en,No portable alternative is this mature
entity,nebius,why_time,en,An equivalent launches in a year
entity,nebius,why_irreplaceability,en,There are several independent clouds
entity,netherlands,why_time,en,Building tool manufacturing outside the country — more than seven years
entity,netherlands,why_irreplaceability,en,"There is one EUV tool maker, and it is here"
entity,nim,why_time,en,Replacing it with open engines — a year
entity,nim,why_irreplaceability,en,Open engines cover the same job
entity,nvent,why_time,en,Replacing the solution — a year
entity,nvent,why_irreplaceability,en,There are several cooling suppliers
entity,nventures,why_time,en,Winding the programme down and back up — one to two years
entity,nventures,why_irreplaceability,en,The anchor has only one instrument of this kind
entity,nvidia,why_time,en,Porting the installed code base — a decade
entity,nvidia,why_irreplaceability,en,The accelerator is reproducible; the programming environment is not
entity,oklo,why_time,en,A nuclear plant takes more than seven years to build
entity,oklo,why_irreplaceability,en,Not one plant has been built
entity,openai,why_time,en,Taking its place — two to three years
entity,openai,why_irreplaceability,en,There are several labs; others would pick up the demand
entity,oracle,why_time,en,Building comparable capacity — two to three years
entity,oracle,why_irreplaceability,en,There are several clouds of this scale
entity,pytorch,why_time,en,Growing a comparable library — five years
entity,pytorch,why_irreplaceability,en,"A duopoly, with an overwhelming lead in users"
entity,quanta,why_time,en,Moving the volume — under six months
entity,quanta,why_irreplaceability,en,"There are several contractors, and switching is quick"
entity,ray,why_time,en,Replacement — a year
entity,ray,why_irreplaceability,en,There are several orchestrators
entity,recursion,why_time,en,Replacement — a year
entity,recursion,why_irreplaceability,en,There are several industry applications
entity,salesforce,why_time,en,Replacement — one to two years
entity,salesforce,why_irreplaceability,en,There are several enterprise platforms
entity,samsung,why_time,en,Growing the second source's share — three to five years
entity,samsung,why_irreplaceability,en,One of three in memory and one of three in fabs
entity,sandisk,why_time,en,Switching supplier — months
entity,sandisk,why_irreplaceability,en,There are several flash-memory suppliers
entity,schneider,why_time,en,The queue for equipment — two years
entity,schneider,why_irreplaceability,en,There are several power suppliers
entity,schrodinger,why_time,en,Replacement — a year
entity,schrodinger,why_irreplaceability,en,There are several industry applications
entity,sequoia,why_time,en,Finding replacement capital — months
entity,sequoia,why_irreplaceability,en,Several venture funds of this class exist
entity,servicenow,why_time,en,Replacement — one to two years
entity,servicenow,why_irreplaceability,en,There are several enterprise platforms
entity,sglang,why_time,en,Replacement — under a year
entity,sglang,why_irreplaceability,en,There are several inference engines
entity,shin-etsu,why_time,en,Requalifying the material — one to two years
entity,shin-etsu,why_irreplaceability,en,There are few wafer and resist suppliers
entity,siemens,why_time,en,Replacement — one to two years
entity,siemens,why_irreplaceability,en,There are several industrial applications
entity,siemens-eda,why_time,en,Replacement within the niche — one to two years
entity,siemens-eda,why_irreplaceability,en,The alternatives are clear; the advantage sits in particular niches
entity,siemens-energy,why_time,en,The queue for equipment — three years
entity,siemens-energy,why_irreplaceability,en,Three makers build large turbines
entity,singapore,why_time,en,Rebuilding the logistics — under a year
entity,singapore,why_irreplaceability,en,There are several logistics hubs
entity,sk-hynix,why_time,en,Qualifying a new supplier — three years
entity,sk-hynix,why_irreplaceability,en,An HBM duopoly with a clear leader
entity,snowflake,why_time,en,Replacement — one to two years
entity,snowflake,why_irreplaceability,en,There are several data warehouses
entity,softbank,why_time,en,Replacing the commitment — two to three years
entity,softbank,why_irreplaceability,en,Few investors fund construction at this scale
entity,south-korea,why_time,en,Moving memory production — five years or more
entity,south-korea,why_irreplaceability,en,Two of the three memory makers sit here
entity,supermicro,why_time,en,Making up for early access — a year
entity,supermicro,why_irreplaceability,en,There are several rack integrators
entity,synopsys,why_time,en,Changing design methodology — five years
entity,synopsys,why_irreplaceability,en,A duopoly: two suppliers for the whole industry
entity,taiwan,why_time,en,Equivalent production — seven years or more
entity,taiwan,why_irreplaceability,en,No other territory has manufacturing like this
entity,tensorrt,why_time,en,Catching up on optimisation — two years
entity,tensorrt,why_irreplaceability,en,"Open optimisers are catching up, but still trail"
entity,thrive,why_time,en,Finding replacement capital — months
entity,thrive,why_irreplaceability,en,There are several late-stage investors
entity,tokyo-electron,why_time,en,Requalification — two to three years
entity,tokyo-electron,why_irreplaceability,en,Three suppliers work at this scale
entity,triton,why_time,en,Getting it portable — two to three years
entity,triton,why_irreplaceability,en,There are several compilers of this kind
entity,tsmc,why_time,en,An equivalent fab takes seven years to build
entity,tsmc,why_irreplaceability,en,No other fab matches this class and volume
entity,usa,why_time,en,Building a chain outside US law — more than seven years
entity,usa,why_irreplaceability,en,The chain cannot be taken out of this jurisdiction
entity,vertiv,why_time,en,Rebuilding a site's cooling — two years
entity,vertiv,why_irreplaceability,en,"There are several rack-cooling suppliers, but the tuning differs"
entity,vllm,why_time,en,Catching up on the ecosystem — one to two years
entity,vllm,why_irreplaceability,en,There are several inference engines; the advantage is inertia
entity,wistron,why_time,en,Moving the volume — under six months
entity,wistron,why_irreplaceability,en,"There are several contractors, and switching is quick"
entity,xai,why_time,en,Taking its place — one to two years
entity,xai,why_irreplaceability,en,There are several labs
entity,a16z,risk_note,en,Investments mostly in the US.
entity,a16z,what_breaks_it,en,A contraction in venture funding.
entity,amazon,risk_note,en,Infrastructure spread across dozens of countries.
entity,amazon,what_breaks_it,en,In-house accelerators catch up on software and take the training workload.
entity,amd,risk_note,en,Production on the same territory as the anchor's.
entity,amd,what_breaks_it,en,An open programming environment catches up on the volume of code written for it.
entity,amkor,risk_note,en,"Some production has moved to the US, some remains in Asia."
entity,amkor,what_breaks_it,en,Losing the largest customer.
entity,anthropic,risk_note,en,Depends on American clouds.
entity,anthropic,what_breaks_it,en,"Losing access to a partner's capacity, or falling a generation behind."
entity,applied-materials,risk_note,en,Sales into China are restricted by American rules.
entity,applied-materials,what_breaks_it,en,Losing access to the largest fabs because of export restrictions.
entity,arista,risk_note,en,"Production is contracted out, mostly outside China."
entity,arista,what_breaks_it,en,"Clouds move to their own switches, or to the anchor's."
entity,arm,risk_note,en,A British company under Japanese ownership; no export restrictions.
entity,arm,what_breaks_it,en,An industry-wide move to the open RISC-V architecture.
entity,ase,risk_note,en,Production concentrated in Taiwan.
entity,ase,what_breaks_it,en,Leading-edge packaging being pulled inside the foundry.
entity,asml,risk_note,en,Tool exports are restricted by Dutch and American rules.
entity,asml,what_breaks_it,en,"A working alternative to EUV, or losing exclusive access to Zeiss optics."
entity,astera-labs,risk_note,en,Production is outsourced to a foundry in Taiwan.
entity,astera-labs,what_breaks_it,en,The retimer function moving inside the switch or the accelerator.
entity,bis,risk_note,en,The rules change within a quarter and take effect immediately.
entity,bis,what_breaks_it,en,Authority being transferred or the regime repealed — not in prospect today.
entity,blackrock,risk_note,en,Assets worldwide.
entity,blackrock,what_breaks_it,en,The infrastructure cycle turning.
entity,blackstone,risk_note,en,Assets mostly in the US and Europe.
entity,blackstone,what_breaks_it,en,The datacenter cycle turning.
entity,bloom-energy,risk_note,en,Production in the US.
entity,bloom-energy,what_breaks_it,en,Grid connection becoming cheaper and faster.
entity,boyd,risk_note,en,Production in the US and Asia.
entity,boyd,what_breaks_it,en,A change in the accelerator's package design.
entity,broadcom,risk_note,en,Production is outsourced to foundries in Taiwan.
entity,broadcom,what_breaks_it,en,Clouds return to general-purpose accelerators instead of custom ones.
entity,brookfield,risk_note,en,Assets in North America and Europe.
entity,brookfield,what_breaks_it,en,The infrastructure-capital cycle turning.
entity,cadence,risk_note,en,Design-tool exports are restricted for certain countries.
entity,cadence,what_breaks_it,en,"Market consolidation, or a breakthrough in open design tools."
entity,cfius,risk_note,en,Review stretches deal timelines and can kill a deal outright.
entity,cfius,what_breaks_it,en,The review regime being relaxed.
entity,china,risk_note,en,The market is closed by licensing requirements; rare-metal exports were restricted in response.
entity,china,what_breaks_it,en,"Restrictions lifted or, conversely, a full ban — either changes the picture sharply."
entity,chips-act,risk_note,en,The subsidy programme is politically contingent and can be wound down.
entity,chips-act,what_breaks_it,en,The subsidy programme being cancelled or left unfunded.
entity,cisco,risk_note,en,Production is contracted out and distributed.
entity,cisco,what_breaks_it,en,Further share loss in datacenters.
entity,coherent,risk_note,en,Production split between the US and Asia.
entity,coherent,what_breaks_it,en,Price pressure from Asian module makers.
entity,constellation,risk_note,en,Assets in the US.
entity,constellation,what_breaks_it,en,A regulatory ban on direct plant-to-datacenter contracts.
entity,coreweave,risk_note,en,Sites in the US and Europe.
entity,coreweave,what_breaks_it,en,Losing the largest customer: two clients account for almost all revenue.
entity,credo,risk_note,en,Production is outsourced to a foundry in Taiwan.
entity,credo,what_breaks_it,en,Clusters moving to optics instead of active copper.
entity,crusoe,risk_note,en,Sites in the US.
entity,crusoe,what_breaks_it,en,Losing access to cheap power at the sites.
entity,cuda,risk_note,en,Software exports are restricted alongside the hardware.
entity,cuda,what_breaks_it,en,A mass move to a portable accelerator programming environment.
entity,databricks,risk_note,en,Runs on top of the major clouds.
entity,databricks,what_breaks_it,en,Hyperscalers build the same functionality into their own clouds.
entity,deepseek,risk_note,en,Operates under Chinese jurisdiction and under US export restrictions.
entity,deepseek,what_breaks_it,en,Restricted access to hardware or to data.
entity,dell,risk_note,en,Production spread across several countries.
