edge_id,detail_ru,detail_en
amazon__anthropic__supplies,"Соглашение — до пяти гигаватт новой мощности, заключено одновременно с раундом финансирования лаборатории. Второй поставщик подписал столько же на своих ускорителях, и это осознанная политика лаборатории: три платформы чипов вместо одной. Для облака контракт означает загрузку собственного кремния внешним заказчиком.","The agreement covers up to five gigawatts of new capacity and was signed alongside the lab's funding round. A second supplier signed for the same amount on its own accelerators — a deliberate policy of running three chip platforms rather than one. For the cloud, the contract puts an external customer on its own silicon."
amazon__anthropic__invests_in,"Вложения оформлены конвертируемыми займами, из них 2,7 млрд долларов внесено в 2025 году. Часть займов уже конвертирована в неголосующие привилегированные акции — то есть деньги превратились в долю без права голоса. Рядом с этим идёт поставочный контракт на пять гигаватт: инвестор и поставщик здесь одно лицо.","The investment is structured as convertible notes, of which $2.7 billion was funded in 2025. Part of those notes has since converted into non-voting preferred stock — money turned into a stake without a vote. Running alongside is a five-gigawatt supply contract: investor and supplier are the same party."
openai__oracle__customer_of,"Соглашение покрывает 4,5 гигаватта дополнительной мощности площадок в США. Для облака этот контракт определяет профиль роста: мощность такого масштаба строится под конкретного заказчика, а не на общий рынок. Лаборатория при этом закупает параллельно у нескольких провайдеров, поэтому эксклюзивности здесь нет.","The agreement covers 4.5 gigawatts of additional US data centre capacity. For the cloud this contract defines the growth profile: capacity at that scale is built for a named customer, not for the open market. The lab buys from several providers in parallel, so there is no exclusivity here."
constellation__microsoft__supplies,"Договор на покупку электроэнергии подписан на 20 лет — крупнейший в истории продавца. Он оплачивает перезапуск остановленного энергоблока, который добавит в сеть около 835 мегаватт безуглеродной мощности; ввод ожидается в 2028 году. Покупатель получает не мегаватты как товар, а физический возврат генерации в сеть, которого без контракта не случилось бы.","The power purchase agreement runs for 20 years — the largest in the seller's history. It pays for restarting a shut-down unit that will add roughly 835 megawatts of carbon-free capacity to the grid, expected online in 2028. The buyer is not purchasing megawatts as a commodity but funding generation back into the grid that would not have returned otherwise."
sk-hynix__nvidia__supplies,"Партнёрство расширено до инициативы объёмом более 500 млрд долларов, охватывающей и стройку вычислительных площадок, и поставку памяти. Со стороны покупателя память идёт от трёх поставщиков сразу, поэтому даже соглашение такого масштаба не создаёт единственного источника — оно закрепляет первого среди равных.","The partnership was expanded into an initiative worth more than $500 billion, covering both compute site construction and memory supply. On the buyer's side memory comes from three suppliers at once, so even an agreement of this size does not create a single source — it entrenches first among equals."
asml__tsmc__supplies,"Со стороны поставщика станков: крупнейший заказчик дал 7 796,7 млн евро, или 23,9% продаж 2025 года против 16,6% в 2024-м; на двух крупнейших пришлось 38,0%. Рост доли за год на семь процентных пунктов показывает, как быстро передовое производство стягивается к нескольким покупателям. Альтернативы станкам этого класса в мире нет.","From the equipment maker's side: its largest customer accounted for €7,796.7 million, or 23.9% of 2025 net sales against 16.6% in 2024; the top two made up 38.0%. A seven-point jump in a single year shows how fast leading-edge manufacturing is concentrating into a few buyers. There is no alternative to machines of this class anywhere."
fabrinet__nvidia__integrates,"Зависимость односторонняя и измеримая: заказчик дал подрядчику 27,6% выручки за 2025 финансовый год против 35,1% годом раньше, второй заказчик — 18,2% и 13,4%. Для подрядчика это концентрация, определяющая бизнес; для заказчика — один из нескольких сборщиков оптических модулей.","The dependence runs one way and is measurable: the customer provided 27.6% of the contractor's fiscal 2025 revenue, down from 35.1% a year earlier, while a second customer provided 18.2% and 13.4%. For the contractor this is business-defining concentration; for the customer it is one optical-module assembler among several."
tsmc__broadcom__manufactures,"Проектировщик заказных ускорителей отдаёт большую часть производства пластин внешним фабрикам, и та же TSMC печатает ускорители его главного конкурента. Концентрация спроса у самого проектировщика высокая: один заказчик дал 32%, 28% и 21% выручки за три года, пять крупнейших — около 40%. Обе стороны конкуренции зависят от одной фабрики.","The custom-accelerator designer outsources most wafer manufacturing, and the same foundry makes its main rival's accelerators too. The designer's own demand is concentrated: one customer accounted for 32%, 28% and 21% of revenue over three years, and the top five for about 40%. Both sides of the rivalry depend on the same foundry."
arista__microsoft__supplies,"Со стороны поставщика сетей: два заказчика дали 26% и 16% выручки за отчётный год, то есть Сети для кластеров ускорителей проектируются целиком, вместе с операционной системой и эксплуатацией, поэтому смена поставщика — это переделка сети и переобучение людей, а не замена коробок.","From the network vendor's side: two customers accounted for 26% and 16% of revenue for the year Networks for accelerator clusters are designed as a whole, together with the operating system and the operations practice, so changing vendor means rebuilding the network and retraining people, not swapping boxes."
nvidia__supermicro__supplies,"Сборщик проектирует системы под новые платформы заранее и совместно с их разработчиками. Его собственная выручка концентрирована: четыре заказчика дали более 10% продаж каждый в 2025 финансовом году против одного такого заказчика годом раньше. Ранний доступ к платформе — единственное, что отличает его от прочих сборщиков стоек.","The integrator designs systems for new platforms in advance and jointly with their developers. Its own revenue is concentrated: four customers each accounted for more than 10% of net sales in fiscal 2025, against a single such customer a year earlier. Early access to the platform is the only thing separating it from other rack builders."
