allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Altimeter,Volta AI Infra Holdings,funding_round,2026-08-04,NVDA,NVIDIA Corporation,"Volta is a GPU-cloud/neocloud startup; NVIDIA is a returning investor in this round and the explicit compute supplier behind Volta's GPU capacity buildout",high
Altimeter,Volta AI Infra Holdings,funding_round,2026-08-04,DELL,Dell Technologies,"Michael Dell personally participated in this round, tied to Volta's data-center hardware buildout; Dell is a natural server/infrastructure hardware supplier for neocloud capacity expansion",medium
Andreessen Horowitz,Etched,follow_on,2026-08-18,TSM,Taiwan Semiconductor Manufacturing,"Etched builds a custom AI-inference ASIC (Sohu); as a fabless chip designer it must manufacture at an advanced-node foundry, and TSMC is the dominant foundry for such leading-edge AI silicon",high
Sequoia,Etched,follow_on,2026-08-18,TSM,Taiwan Semiconductor Manufacturing,"Etched builds a custom AI-inference ASIC (Sohu); as a fabless chip designer it must manufacture at an advanced-node foundry, and TSMC is the dominant foundry for such leading-edge AI silicon",high
Peter Thiel,Etched,funding_round,2026-08-18,TSM,Taiwan Semiconductor Manufacturing,"Etched builds a custom AI-inference ASIC (Sohu); as a fabless chip designer it must manufacture at an advanced-node foundry, and TSMC is the dominant foundry for such leading-edge AI silicon",high
Coatue,Firmus,follow_on,2026-08-07,NVDA,NVIDIA Corporation,"NVIDIA is a returning investor in Firmus and its GPUs are the core compute deployed across Firmus's Project Southgate APAC AI data-center buildout",high
Coatue,Firmus,follow_on,2026-08-07,VRT,Vertiv Holdings,"Large-scale AI data-center campus buildout (Project Southgate) drives demand for hyperscale cooling/power infrastructure",medium
Elon Musk,APR Energy,acquisition,2026-06-23,GEV,GE Vernova,"APR Energy's mobile gas/diesel turbine fleet is built substantially on GE aeroderivative turbine technology; expansion of the fleet to power AI/data-center demand supports GE Vernova's turbine and services business",medium
Elon Musk,Mesh Optical Technologies,acquisition,2026-06-26,COHR,Coherent Corp.,"Optical interconnect component maker; thematic beneficiary as Musk's personal AI-infrastructure stack (including Mesh Optical) builds out data-center optical-interconnect capacity, broadly validating the space",low
Jeff Bezos,CuspAI,funding_round,2026-07-20,NVDA,NVIDIA Corporation,"NVIDIA is an explicit named partner (alongside Meta, Samsung, Hyundai) in CuspAI's 'AI Materials Foundry' launched alongside this round, aimed at discovering new chipmaking materials",medium
KKR,KKR Global Infrastructure Investors V,fund_launch,2026-08-03,VRT,Vertiv Holdings,"Largest-ever KKR infrastructure fund with digital infrastructure (data centers, fiber) as one of three core lanes; a macro-level signal for continued capital deployment into AI data-center buildout that Vertiv's cooling/power gear supplies",low
BlackRock,Aligned Data Centers,acquisition,2026-07-21,VRT,Vertiv Holdings,"Aligned is a major hyperscale data-center operator; the $40B AIP/GIP/MGX buyout plus $5B growth capital signals continued large-scale campus buildout that drives demand for Vertiv's liquid-cooling and power infrastructure",medium
BlackRock,Aligned Data Centers,acquisition,2026-07-21,ETN,Eaton Corporation,"Electrical distribution/switchgear supplier for hyperscale data-center campus buildouts like Aligned's",medium
Brookfield,Paducah DOE Site AI Data Center Campus,project_finance,2026-07-29,NEE,NextEra Energy,"NextEra Energy is the named generation partner building the dedicated 2GW gas + 2.6GW battery-storage on-site power for this campus -- a direct, disclosed commercial relationship",high
Brookfield,Paducah DOE Site AI Data Center Campus,project_finance,2026-07-29,GEV,GE Vernova,"Gas-turbine OEM well positioned to supply the 2GW gas-fired generation component of the Paducah campus's dedicated power buildout",medium
Apollo,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
BlackRock,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
Blackstone,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
Brookfield,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
Goldman Sachs,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
KKR,AI Compute Infrastructure Financing Platform (NVIDIA-anchored),fund_launch,2026-08-10,NVDA,NVIDIA Corporation,"NVIDIA-anchored financing platform explicitly designed to mobilize >$500B of third-party debt/structured capital so customers can buy more NVIDIA-based compute without it hitting NVIDIA's balance sheet; NVIDIA also holds an option to backstop up to $125B of it -- the platform's entire purpose is to expand NVIDIA GPU sales",high
MGX,Aligned Data Centers,follow_on,2026-07-21,VRT,Vertiv Holdings,"Aligned is a major hyperscale data-center operator; the $40B AIP/GIP/MGX buyout plus this $5B growth-capital follow-on signals continued large-scale campus buildout that drives demand for Vertiv's liquid-cooling and power infrastructure",medium
MGX,Aligned Data Centers,follow_on,2026-07-21,ETN,Eaton Corporation,"Electrical distribution/switchgear supplier for hyperscale data-center campus buildouts like Aligned's",medium
Mubadala,Moove,funding_round,2026-08-05,GOOGL,Alphabet Inc.,"Moove's autonomous-mobility infrastructure buildout explicitly includes a Waymo partnership; Alphabet's Waymo unit is a direct, disclosed beneficiary of Moove's fleet-infrastructure scale-up",low
Brookfield,NextEra-Brookfield Paducah AI Data Center Campus,project_finance,2026-07-29,NEE,NextEra Energy,"NextEra Energy is the named generation partner building the dedicated 2GW gas + 2.6GW battery-storage on-site power for this campus -- a direct, disclosed commercial relationship",high
Brookfield,NextEra-Brookfield Paducah AI Data Center Campus,project_finance,2026-07-29,GEV,GE Vernova,"Gas-turbine OEM well positioned to supply the 2GW gas-fired generation component of the Paducah campus's dedicated power buildout",medium
US Government,GlobalFoundries,sovereign_investment,2026-07-29,COHR,Coherent Corp.,"Optical/photonic component supplier positioned to benefit as GlobalFoundries' CHIPS-funded co-packaged-optics R&D matures toward commercial AI-interconnect production",low
US Government,GlobalFoundries,equity,2026-07-29,COHR,Coherent Corp.,"Optical/photonic component supplier positioned to benefit as GlobalFoundries' CHIPS-funded co-packaged-optics R&D matures toward commercial AI-interconnect production",low
