source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note
ase,credo,packages,upstream,55,30,45,true,low,market,1-2y,,,2018,,Второй подрядчик упаковки.
credo,nvidia,optimizes_for,downstream,45,35,55,true,low,technical,1-2y,Переход кластеров на оптику снижает роль активной меди.,,2020,,"Активные кабели, соединяющие стойки в кластер вокруг платформы якоря."
coherent,nvidia,supplies,upstream,50,40,50,true,medium,market,1-2y,Поставщиков оптических модулей несколько.,,2020,,"Оптические модули для кластеров; поддерживают и собственный протокол якоря, и открытые стандарты."
fabrinet,coherent,integrates,upstream,35,25,65,true,low,market,1-2y,,,2010,,Контрактная сборка оптических модулей для нескольких разработчиков.
fabrinet,cisco,integrates,upstream,30,20,70,true,low,market,1-2y,,,2010,,"Второй крупный заказчик контрактного сборщика оптики — 18,2% его выручки."
cisco,arista,competes_with,lateral,60,40,40,true,low,market,1-2y,,,2008,,Исторический лидер сетевого оборудования против специализированного поставщика для кластеров.
nvidia,microsoft,supplies,downstream,95,80,10,false,medium,substitution,2-5y,Диверсификация покупателей: облаков несколько.,,2016,2023,Все крупные облака закупают инфраструктуру якоря — это и есть основа его выручки.
microsoft,nvidia,customer_of,upstream,90,70,20,true,medium,market,1-2y,Выручка распределена между несколькими облаками.,,2016,2023,"Одно из облаков-гигантов покупает ускорители в объёмах, определяющих квартальную выручку якоря."
amazon,nvidia,customer_of,upstream,88,70,20,true,medium,market,1-2y,Выручка распределена между несколькими облаками.,,2016,2023,Второе облако-гигант в числе крупнейших покупателей.
google,nvidia,customer_of,upstream,85,70,25,true,medium,substitution,1-2y,Собственный ускоритель покрывает часть внутренних задач.,,2016,2023,Третье облако-гигант: покупает и одновременно строит собственную альтернативу.
oracle,nvidia,customer_of,upstream,75,55,30,true,medium,market,1-2y,,,2022,2025,"Облако, строящее площадки под контракты лабораторий, закупает ускорители гигаваттами."
meta,nvidia,customer_of,upstream,85,70,25,true,medium,substitution,2-5y,Собственные чипы пока не покрывают обучение.,,2016,2023,"Крупный покупатель, который одновременно отдал отрасли главную библиотеку обучения."
google,nvidia,threatens,downstream,75,70,25,true,high,substitution,2-5y,Универсальные ускорители остаются гибче под новые архитектуры моделей.,,2016,2025,Собственный ускоритель седьмого поколения закрывает часть внутренних задач без закупки.
amazon,nvidia,threatens,downstream,65,60,35,true,high,substitution,2-5y,Софтовая экосистема остаётся преимуществом якоря.,,2018,2024,Собственные ускорители облака закрывают часть обучения и инференса.
microsoft,nvidia,threatens,downstream,55,50,45,true,medium,substitution,2-5y,Собственный чип пока покрывает узкий круг задач.,,2023,,Собственный ускоритель гиперскейлера назван среди конкурентов в отчётности якоря.
nvidia,coreweave,supplies,downstream,100,70,0,false,medium,market,1-2y,Контракты клиентов прямо предписывают использовать ускорители якоря.,,2019,2023,"ВСЕ ускорители в инфраструктуре этого облака — от якоря, и это прописано в контрактах с его клиентами."
coreweave,nvidia,customer_of,upstream,70,50,30,true,medium,market,1-2y,,,2019,2023,Независимое облако закупает ускорители на миллиарды и перепродаёт их как аренду.
microsoft,coreweave,customer_of,upstream,95,50,10,true,high,market,immediate,Второй крупный заказчик и выход на биржу снижают зависимость.,,2022,2023,Для независимого облака это 67% выручки: зависимость односторонняя и критическая.
openai,coreweave,customer_of,upstream,75,55,25,true,medium,market,2-5y,Контракт до 2031 года фиксирует объём.,,2025,,"Лаборатория обязалась заплатить независимому облаку до 6,5 млрд долларов к 2031 году."
nvidia,nebius,supplies,downstream,95,55,5,false,medium,market,1-2y,,,2023,,Европейское независимое облако прямо заявляет зависимость от ускорителей якоря.
microsoft,nebius,customer_of,upstream,60,35,40,true,medium,market,2-5y,Контракт на пять лет фиксирует объём.,,2025,,Гиперскейлер арендует выделенные кластеры у независимого облака — спрос превышает собственные мощности.
nvidia,lambda,supplies,downstream,85,40,15,true,low,market,1-2y,,,2020,,Небольшое независимое облако для исследователей работает на ускорителях якоря.
nvidia,crusoe,supplies,downstream,80,45,20,true,low,market,1-2y,,,2021,,"Облако, строящее площадки у источников энергии, работает на ускорителях якоря."
equinix,nvidia,enables,upstream,55,45,45,true,low,market,2-5y,Операторов площадок несколько.,,2020,,"Нейтральные площадки и точки обмена трафиком, через которые подключаются кластеры."
digital-realty,nvidia,enables,upstream,50,40,50,true,low,market,2-5y,Операторов площадок несколько.,,2020,,Второй крупный оператор площадок для дата-центров.
equinix,microsoft,supplies,upstream,50,35,50,true,low,market,1-2y,,,2010,,Площадки и подключения для облака-гиганта.
digital-realty,oracle,supplies,upstream,45,30,55,true,low,market,1-2y,,,2015,,Площадки под облачные мощности.
nvidia,arista,competes_with,lateral,70,55,35,true,medium,substitution,2-5y,,spectrum-x,2019,2023,Собственная сетевая платформа якоря конкурирует с независимыми коммутаторами в кластерах.
nvidia,broadcom,competes_with,lateral,75,65,25,true,high,substitution,2-5y,,,2016,2024,Открытие собственного протокола связи чужим ускорителям — ответ на угрозу заказных чипов.
