id,name,aliases,type,role,sector,primary_layer,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
credo,Credo Technology,Credo|Credo Technology Group,company,producer,interconnect,L8,L8,scaling,NASDAQ: CRDO,public,US,2008,1.2,"Активные кабели и приёмопередатчики, соединяющие стойки в большой кластер.","Специализация на надёжности соединений внутри кластера. Замены существуют, преимущество в отработанности.",Переход кластеров на оптику вместо активной меди.,low,Производство отдано фабрике на Тайване.,,40
coherent,Coherent,Coherent Corp|II-VI,company,producer,optics,L8,L8,mature,NYSE: COHR,public,US,1971,5.8,Оптические модули: превращают электрический сигнал в свет для передачи между стойками.,"Один из нескольких поставщиков оптики для кластеров. Поддерживает и открытые стандарты, и проприетарные — именно поэтому заменим.",Ценовое давление со стороны азиатских производителей модулей.,medium,Производство распределено между США и Азией.,,40
fabrinet,Fabrinet,Fabrinet Co,company,producer,optics,L8,L8,mature,NYSE: FN,public,TH,2000,3.4,Контрактный производитель оптических сборок; крупнейший заказчик — сам якорь.,Собирает оптику и модули по чужим проектам. Зависимость односторонняя: на якорь приходится больше четверти его выручки.,Перевод сборки к другому подрядчику.,medium,Производство сосредоточено в Таиланде.,,60
cisco,Cisco,Cisco Systems,company,producer,switching,L8,L8,mature,NASDAQ: CSCO,public,US,1984,56.0,"Исторический лидер сетевого оборудования, теперь конкурент в сетях для ИИ.","Крупнейшая сетевая компания по установленной базе, но в кластерах для ИИ уступает специализированным решениям.",Дальнейшая потеря доли в дата-центрах.,low,Производство контрактное и распределённое.,,25
microsoft,Microsoft,Microsoft Corporation|MSFT,company,demand,hyperscaler,L9,L9|L12,mature,NASDAQ: MSFT,public,US,1975,281.7,"Гиперскейлер, крупнейший инвестор ведущей лаборатории и одновременно разработчик своих чипов.","Покупает вычисления, строит вместе с якорем и проектирует собственные ускорители. Все три отношения настоящие, и третье — источник главного риска.",Полный перевод обучения и инференса на собственные чипы.,medium,Инфраструктура распределена по десяткам стран.,,30
amazon,Amazon,Amazon.com|AWS|Amazon Web Services,company,demand,hyperscaler,L9,L9|L12,mature,NASDAQ: AMZN,public,US,1994,638.0,Крупнейшее облако и разработчик собственных ускорителей; инвестор второй лаборатории.,Самый продвинутый среди облаков по собственному кремнию. Одновременно один из крупнейших покупателей — зависимость обоюдная.,Собственные ускорители догоняют по софту и забирают обучение.,medium,Инфраструктура распределена по десяткам стран.,,30
google,Google,Alphabet|Google Cloud|Alphabet Inc.,company,demand,hyperscaler,L9,L3|L9|L12,mature,NASDAQ: GOOGL,public,US,1998,350.0,"Облако, собственный ускоритель седьмого поколения и собственная лаборатория одновременно.","Единственная компания, у которой есть свой чип, своё облако и своя передовая лаборатория. Поэтому она и главный клиент, и самая полная альтернатива.",Собственный ускоритель выходит на внешний рынок как полноценный товар.,medium,Инфраструктура распределена по десяткам стран.,,30
oracle,Oracle,Oracle Corporation,company,operator,hyperscaler,L9,L9,scaling,NYSE: ORCL,public,US,1977,57.4,"Облако, которое строит площадки под контракты лабораторий на гигаватты мощности.","Взяло на себя роль оператора крупнейшей стройки под одну лабораторию. Ценность в готовности строить, а не в уникальности технологии.",Сокращение обязательств крупнейшего заказчика.,medium,Площадки преимущественно в США.,,35
coreweave,CoreWeave,"CoreWeave, Inc.",company,operator,neocloud,L9,L9,scaling,NASDAQ: CRWV,public,US,2017,5.0,"Независимое облако, которое сдаёт кластеры ускорителей в аренду лабораториям.",Существование независимого арендодателя мощностей мешает облакам-гигантам монополизировать инференс. Ценность стратегическая: всё железо у него — от якоря по контракту.,Уход крупнейшего заказчика: на двух клиентов приходится почти вся выручка.,low,Площадки в США и Европе.,,30
nebius,Nebius,Nebius Group|Nebius Group N.V.,company,operator,neocloud,L9,L9,scaling,NASDAQ: NBIS,public,NL,2024,1.5,"Европейское независимое облако с кластерами ускорителей, работает по долгим контрактам.","Ещё один независимый арендодатель мощностей, теперь в Европе. Прямо заявляет зависимость от якоря по чипам.",Отмена якорного контракта с гиперскейлером.,low,Площадки в Европе и США.,,30
lambda,Lambda Labs,Lambda,company,operator,neocloud,L9,L9,scaling,,private,US,2012,0.5,"Небольшое независимое облако для аренды ускорителей, ориентированное на исследователей.","Третий независимый арендодатель. Каждый следующий снижает риск монополии облаков-гигантов на инференс, но по отдельности они малы.",Сжатие финансирования независимых облаков.,low,Площадки в США.,,25
crusoe,Crusoe,Crusoe Energy|Crusoe Energy Systems,company,operator,neocloud,L9,L6|L9,scaling,,private,US,2018,0.8,Строит дата-центры прямо у источников энергии и сдаёт вычисления в аренду.,"Соединяет два дефицита сразу: энергию и вычисления. Именно поэтому строит площадки там, где сеть не справляется.",Потеря доступа к дешёвой энергии на площадках.,low,Площадки в США.,,25
equinix,Equinix,"Equinix, Inc.",company,operator,colocation,L9,L9,mature,NASDAQ: EQIX,public,US,1998,8.7,"Оператор нейтральных площадок: сдаёт помещения, питание и точки обмена трафиком.","Нейтральность — то, чего нет у облаков-гигантов: на одной площадке встречаются все. Заменить сложно из-за плотности подключений.",Полный уход спроса в собственные кампусы гиперскейлеров.,low,Площадки более чем в тридцати странах.,,25
digital-realty,Digital Realty,Digital Realty Trust,company,operator,colocation,L9,L9,mature,NYSE: DLR,public,US,2004,5.9,"Второй крупный оператор площадок для дата-центров, включая гиперскейл-кампусы.",Прямой аналог первого оператора площадок. Наличие двух делает слой конкурентным.,Уход спроса в собственные кампусы гиперскейлеров.,low,Площадки более чем в двадцати странах.,,25
